Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure
170-PCC000019-E, 484, 457, 0, 4, 23, 23, 0, true, 0, 32
999-ACC000013-E, 94230, 52204, 3116, 936, 39226, 37974, 1252, true, 0, 142
999-ACC000023-E, 41377, 25688, 1310, 459, 13920, 13920, 0, true, 0, 1530
999-ACC000038-E, 930, 707, 38, 53, 132, 132, 0, true, 0, 283
999-ACC000061-E, 20381, 19305, 669, 121, 286, 286, 0, true, 0, 297
999-ACC000120-E, 11838, 11158, 475, 116, 89, 89, 0, true, 0, 32
999-AIC000008-E, 5379, 3364, 184, 1066, 1854, 765, 1089, true, 0, 29
999-AJC000008-E, 3802, 3316, 0, 20, 466, 466, 0, true, 0, 1628
999-AXC000018-E, 4683, 4614, 7, 10, 52, 52, 0, true, 0, 1735
999-AYC000258-E, 1333, 709, 38, 477, 109, 109, 0, true, 0, 283
999-AYC000339-E, 181046, 106284, 4882, 2599, 70929, 67281, 3648, true, 0, 1736
999-AYC393509-E, 3480, 1773, 102, 419, 1186, 1186, 0, true, 0, 1751
999-CAC000559-E, 492, 457, 0, 35, 79, 0, 79, true, 0, 1578
999-CAC000718-E, 1425, 1371, 0, 0, 54, 54, 0, true, 0, 1594
999-CAC000784-E, 2767, 2742, 0, 0, 25, 25, 0, true, 0, 1344
999-CAC001039-E, 476, 457, 0, 19, 0, 0, 0, true, 0, 22
170-CDA000010-M, 459, 457, 0, 0, 2, 2, 0, true, 0, 1907
170-CGC000005-M, 458, 457, 0, 0, 1, 1, 0, true, 0, 1907
998-BZA000769-X, 468, 457, 0, 11, 0, 0, 0, true, 0, 1628
998-BZA000857-X, 2748, 2742, 0, 0, 6, 6, 0, true, 0, 1263
998-CPC000068-M, 5528, 3857, 0, 1041, 630, 630, 0, true, 0, 1867
998-CPC000132-M, 460, 457, 0, 3, 0, 0, 0, true, 0, 161
998-CPC000208-M, 5000, 1811, 0, 3189, 4000, 0, 4000, true, 0, 1907
999-ACC000065-E, 685, 457, 20, 124, 84, 84, 0, true, 0, 283
999-ACC000068-E, 1122, 767, 45, 303, 7, 7, 0, true, 0, 32
999-ACC000083-E, 3184, 2806, 132, 217, 29, 29, 0, true, 0, 292
999-ACC000100-E, 257691, 200701, 14705, 42285, 51810, 0, 51810, true, 0, 293
999-ACC315503-E, 40133, 15108, 1432, 2132, 21461, 21461, 0, true, 0, 142
999-ACC316252-E, 500, 457, 43, 0, 0, 0, 0, true, 0, 1099
999-ACC546502-E, 724, 457, 21, 96, 150, 150, 0, true, 0, 283
999-ADC000031-E, 5149, 4950, 0, 8, 191, 191, 0, true, 0, 1610
999-AIC000030-E, 9216, 8564, 374, 85, 472, 193, 279, true, 0, 142
999-AIC000063-E, 3620, 3470, 71, 79, 0, 0, 0, true, 0, 30
999-AIC000065-E, 8976, 7414, 349, 1213, 1531, 0, 1531, true, 0, 1799
999-AJC000015-E, 949, 914, 20, 0, 15, 15, 0, true, 0, 1348
999-AJC000019-E, 1525, 1164, 0, 26, 335, 335, 0, true, 0, 1735
999-ARC000003-E, 494, 457, 0, 7, 30, 30, 0, true, 0, 157
999-AXC000094-E, 1757, 1523, 73, 68, 189, 93, 96, true, 0, 292
999-AXC800004-E, 6949, 6542, 121, 0, 286, 286, 0, true, 0, 1347
999-AYC000028-E, 4250, 2803, 176, 171, 1100, 1100, 0, true, 0, 1579
999-AYC000035-E, 3582, 3244, 154, 35, 149, 149, 0, true, 0, 292
999-AYC000163-E, 2031, 1521, 74, 306, 130, 130, 0, true, 0, 292
999-AYC000306-E, 49380, 35896, 2037, 374, 11073, 11073, 0, true, 0, 293
999-AYC000325-E, 770, 457, 31, 162, 120, 120, 0, true, 0, 1961
999-AYC393252-E, 22964, 6811, 745, 8394, 15471, 7014, 8457, true, 0, 292
999-AYC393502-E, 80411, 59007, 2794, 18610, 15664, 0, 15664, true, 0, 293
999-AYC393503-E, 11058, 5375, 253, 3377, 2053, 2053, 0, true, 0, 1597
999-AYC393512-E, 5975, 3395, 174, 446, 1960, 1960, 0, true, 0, 292
999-AYC395001-E, 119292, 46231, 2244, 2551, 71343, 68266, 3077, true, 0, 152
999-AYC395255-E, 44916, 15961, 1009, 472, 27474, 27474, 0, true, 0, 120
999-AYC395275-E, 980, 914, 46, 20, 0, 0, 0, true, 0, 30
999-AYC395506-E, 960, 457, 20, 170, 313, 313, 0, true, 0, 1961
999-AYC395518-E, 4056, 2447, 169, 234, 1206, 1206, 0, true, 0, 1553
999-AYC595001-E, 14228, 12536, 215, 205, 1272, 1272, 0, true, 0, 1578
999-AYC595500-E, 5986, 4612, 215, 1159, 963, 0, 963, true, 0, 283
999-AYC595504-E, 2087, 1958, 88, 41, 226, 0, 226, true, 0, 292
999-BEC000233-E, 582, 457, 0, 125, 106, 0, 106, true, 0, 120
999-BOC000001-E, 1463, 1206, 0, 12, 245, 245, 0, true, 0, 1808
999-BVC000003-E, 2290, 1353, 0, 122, 815, 815, 0, true, 0, 1740
999-CAC000001-E, 3190, 1447, 0, 75, 1772, 1668, 104, true, 0, 1647
999-CBCLP0002-E, 468, 457, 0, 5, 6, 6, 0, true, 0, 1647
999-CECSMX014-M, 5292, 4006, 0, 115, 1171, 1171, 0, true, 0, 22
999-CECSMX021-M, 5706, 5484, 0, 77, 145, 145, 0, true, 0, 22
999-CFC000037-M, 1095, 1028, 6, 0, 61, 61, 0, true, 0, 1594
999-CIC000050-E, 936, 914, 0, 0, 22, 22, 0, true, 0, 1351
999-CIC000054-E, 1424, 1371, 0, 44, 60, 9, 51, true, 0, 1647
999-CLC000178-E, 4428, 2819, 0, 179, 1430, 1430, 0, true, 0, 1833
999-CLC000204-E, 1372, 1316, 0, 24, 32, 32, 0, true, 0, 33
999-CLC000211-E, 480, 457, 3, 0, 20, 20, 0, true, 0, null
999-CLC000249-E, 1808, 1523, 0, 34, 251, 251, 0, true, 0, 293
170-CGC000051-M, 460, 457, 0, 0, 3, 3, 0, true, 0, 1907
999-ACC000138-E, 5620, 4596, 221, 339, 464, 464, 0, true, 0, 161
001-PCC000015-E, 546, 475, 0, 71, 84, 0, 84, true, 0, 1901
111-CGC000012-M, 503, 475, 0, 0, 30, 28, 2, true, 0, 1907
160-CDC000064-M, 1117, 899, 0, 5, 269, 213, 56, true, 0, 31
170-CCA000005-M, 475, 475, 0, 0, 0, 0, 0, true, 0, 1907
170-CGC000006-M, 483, 475, 0, 1, 7, 7, 0, true, 0, 31
170-PCC000003-E, 481, 475, 0, 3, 3, 3, 0, true, 0, 1594
170-PCC000016-E, 495, 475, 0, 0, 20, 20, 0, true, 0, 1216
999-ACC000121-E, 840, 609, 27, 155, 49, 49, 0, true, 0, 32
999-ACC000124-E, 10697, 7365, 344, 2988, 3202, 0, 3202, true, 0, 292
999-ACC317501-E, 296884, 147616, 11316, 221, 148083, 137731, 10352, true, 0, 142
999-ACC326502-E, 43876, 29660, 1394, 3780, 13135, 9042, 4093, true, 0, 1736
999-ACC326504-E, 18801, 11475, 559, 269, 6783, 6498, 285, true, 0, 292
999-ACC326750-E, 1600, 950, 57, 22, 571, 571, 0, true, 0, 1751
999-ACC757501-E, 1976, 1425, 75, 200, 276, 276, 0, true, 0, 292
999-ACC757503-E, 2517, 1900, 100, 49, 468, 468, 0, true, 0, 31
999-ACCC57751-E, 1238, 990, 41, 3, 230, 204, 26, true, 0, 34
999-AHC916751-E, 41037, 7528, 0, 702, 32807, 32807, 0, true, 0, 119
999-AIC000001-E, 2884, 1202, 65, 23, 1594, 1594, 0, true, 0, 1577
999-AIC000005-E, 3104, 2929, 130, 27, 112, 18, 94, true, 0, 119
999-AIC000016-E, 6652, 4571, 217, 1864, 1876, 0, 1876, true, 0, 30
999-AIC000026-E, 8999, 6650, 290, 311, 2305, 1748, 557, true, 0, 1808
999-AIC000046-E, 2300, 1900, 92, 4, 344, 304, 40, true, 0, 30
999-AIC000092-E, 490, 475, 12, 3, 0, 0, 0, true, 0, 1533
999-ARC000005-E, 600, 495, 0, 4, 101, 101, 0, true, 0, 28
999-AXC000003-E, 4008, 3121, 157, 382, 887, 348, 539, true, 0, 119
999-AXC000013-E, 5864, 4947, 229, 53, 635, 635, 0, true, 0, 292
999-AXC000023-E, 4915, 4295, 190, 140, 557, 290, 267, true, 0, 297
999-AYC000014-E, 5410, 4432, 221, 107, 650, 650, 0, true, 0, 292
999-AYC000073-E, 1570, 1049, 66, 87, 368, 368, 0, true, 0, 1618
999-AYC000074-E, 1002, 475, 30, 87, 410, 410, 0, true, 0, 293
999-AYC393250-E, 7437, 5524, 307, 17, 1589, 1589, 0, true, 0, 1618
999-AYC395252-E, 38456, 29122, 1364, 686, 8382, 7284, 1098, true, 0, 1751
999-AYC395259-E, 206784, 100581, 3196, 2795, 113202, 100212, 12990, true, 0, 152
999-AYC395521-E, 11911, 4224, 209, 4290, 7516, 3188, 4328, true, 0, 292
999-AYC595259-E, 4170, 3385, 188, 597, 602, 0, 602, true, 0, 293
999-AYC595750-E, 8968, 2130, 164, 6674, 6864, 0, 6864, true, 0, 30
999-AYC815251-E, 4202, 1246, 79, 654, 2223, 2223, 0, true, 0, 152
999-AYCGA3251-E, 1510, 1190, 53, 77, 190, 190, 0, true, 0, 120
999-AYCGA3252-E, 939, 495, 25, 277, 142, 142, 0, true, 0, 293
999-AYCGA3502-E, 4515, 3567, 157, 106, 685, 685, 0, true, 0, 293
999-AYCGA3503-E, 1100, 495, 25, 86, 494, 494, 0, true, 0, 293
999-AYCGA3504-E, 3003, 2475, 121, 374, 857, 33, 824, true, 0, 30
999-AYCGA3505-E, 1410, 990, 49, 231, 140, 140, 0, true, 0, 293
999-AYCGA3508-E, 800, 495, 25, 181, 99, 99, 0, true, 0, 32
999-AYCGA5002-E, 800, 495, 25, 95, 185, 185, 0, true, 0, 292
999-BCC000001-E, 8173, 5453, 0, 1918, 2721, 802, 1919, true, 0, 152
999-BEC000148-E, 1210, 1163, 0, 42, 5, 5, 0, true, 0, 31
999-BHC000001-E, 9120, 4530, 0, 170, 4420, 4420, 0, true, 0, 152
999-BVC000167-E, 550, 475, 0, 22, 53, 53, 0, true, 0, 1769
999-CAC000345-E, 496, 475, 0, 21, 31, 0, 31, true, 0, 1116
999-CAC000436-E, 652, 589, 0, 23, 40, 40, 0, true, 0, 28
999-CAC000498-E, 1027, 950, 0, 12, 65, 65, 0, true, 0, 1523
999-CAC000597-E, 497, 475, 3, 0, 19, 19, 0, true, 0, 1238
999-CBC000045-E, 6001, 4586, 0, 724, 691, 691, 0, true, 0, 32
999-CECSPX006-M, 3983, 3800, 0, 183, 436, 0, 436, true, 0, 40
999-CECSRX011-M, 2682, 2668, 0, 0, 14, 14, 0, true, 0, 1907
999-CIC000032-E, 659, 589, 0, 3, 67, 67, 0, true, 0, 1628
999-CKC000032-E, 494, 475, 0, 0, 19, 19, 0, true, 0, 1740
999-ABC000001-E, 55012, 26316, 0, 3359, 25337, 25337, 0, true, 0, 142
999-ACC000072-E, 6150, 2672, 193, 248, 3289, 3037, 252, true, 0, 1522
999-ACC000116-E, 1114, 950, 49, 115, 359, 0, 359, true, 0, 1735
999-ACC000123-E, 750, 609, 30, 76, 35, 35, 0, true, 0, 1735
999-ACC315026-E, 1508, 1060, 61, 93, 294, 294, 0, true, 0, 1577
999-ACC316504-E, 44050, 32008, 1562, 2211, 11102, 8269, 2833, true, 0, 157
999-ACC757502-E, 2568, 1900, 83, 444, 141, 141, 0, true, 0, 34
999-ADC837001-E, 1275, 995, 0, 201, 79, 79, 0, true, 0, 29
999-AHC926001-E, 8054, 1978, 0, 627, 5449, 5449, 0, true, 0, 32
999-AIC000006-E, 54570, 29668, 1454, 973, 24842, 22475, 2367, true, 0, 1736
999-AIC000007-E, 1605, 653, 58, 311, 583, 583, 0, true, 0, 30
999-AIC000044-E, 3048, 1940, 129, 823, 1056, 156, 900, true, 0, 1833
999-AJC000009-E, 1499, 1178, 0, 12, 309, 309, 0, true, 0, 34
999-AKC000006-E, 7434, 4312, 0, 3122, 3060, 0, 3060, true, 0, 292
999-AXC000001-E, 878, 663, 30, 11, 174, 174, 0, true, 0, 1735
999-AXC000002-E, 1980, 1710, 82, 92, 189, 96, 93, true, 0, 33
999-AXC000035-E, 600, 475, 24, 40, 105, 61, 44, true, 0, 1618
999-AYC000006-E, 2597, 1048, 72, 373, 1104, 1104, 0, true, 0, 292
999-AYC393516-E, 6288, 2597, 240, 265, 3186, 3186, 0, true, 0, 120
999-AYC395251-E, 370184, 164981, 10255, 596, 199445, 194352, 5093, true, 0, 34
999-AYC395256-E, 32344, 6921, 950, 4761, 24701, 19712, 4989, true, 0, 102
999-AYC395257-E, 15473, 6561, 300, 621, 7991, 7991, 0, true, 0, 1736
999-AYC395501-E, 175975, 43446, 7063, 8366, 128782, 117100, 11682, true, 0, 152
999-AYCGA3250-E, 2448, 1610, 78, 47, 713, 713, 0, true, 0, 293
999-AYCGA3253-E, 2171, 1615, 78, 115, 363, 363, 0, true, 0, 293
999-AYCGA3254-E, 1310, 990, 53, 148, 309, 119, 190, true, 0, 30
999-AYCGA3255-E, 623, 495, 26, 3, 99, 99, 0, true, 0, 1558
999-BGC000002-E, 4328, 1473, 0, 7, 2848, 2848, 0, true, 0, 29
999-BGC000083-E, 530, 475, 0, 3, 52, 52, 0, true, 0, 34
999-CAC000266-E, 493, 475, 0, 0, 18, 18, 0, true, 0, 1553
999-CAC000505-E, 500, 475, 7, 0, 18, 18, 0, true, 0, 1238
999-CBC000001-E, 11155, 4748, 0, 353, 6054, 6054, 0, true, 0, 32
999-CKC000040-E, 504, 475, 0, 0, 29, 29, 0, true, 0, 1470
999-AYCGA3507-E, 847, 495, 25, 145, 182, 182, 0, true, 0, 292
999-BCC000002-E, 1285, 593, 0, 17, 675, 675, 0, true, 0, 34
999-BGC000022-E, 570, 475, 0, 5, 90, 90, 0, true, 0, 40
999-BGC000059-E, 510, 495, 0, 15, 0, 0, 0, true, 0, 1530
999-CAC000437-E, 513, 475, 13, 0, 25, 25, 0, true, 0, 1530
999-CAC000608-E, 491, 475, 0, 0, 16, 16, 0, true, 0, 1240
999-CLC000029-E, 1370, 1007, 0, 25, 338, 338, 0, true, 0, 1735
160-CDC000065-M, 1090, 973, 23, 0, 94, 94, 0, true, 0, 1907
170-CCA000022-M, 868, 859, 0, 0, 9, 9, 0, true, 0, 22
170-CGC000041-M, 865, 859, 0, 3, 3, 3, 0, true, 0, 161
170-PCC000043-E, 863, 859, 0, 4, 0, 0, 0, true, 0, 22
998-CFA000006-M, 4845, 4295, 0, 0, 550, 550, 0, true, 0, 161
999-ACC000066-E, 6205, 6024, 161, 20, 0, 0, 0, true, 0, 157
999-ACC000076-E, 1508, 1034, 50, 164, 260, 260, 0, true, 0, 32
999-ACC000078-E, 10597, 5673, 366, 139, 4419, 4419, 0, true, 0, 142
999-ACC000186-E, 1359, 1323, 8, 3, 140, 25, 115, true, 0, 293
999-ACC000208-E, 10716, 6121, 354, 819, 3422, 3422, 0, true, 0, 33
999-ADC000018-E, 3496, 3436, 0, 20, 40, 40, 0, true, 0, 22
999-AIC000128-E, 2030, 1718, 75, 237, 0, 0, 0, true, 0, 292
999-AOC000132-E, 911, 859, 0, 3, 49, 49, 0, true, 0, 293
999-AOC000133-E, 1742, 1718, 0, 24, 0, 0, 0, true, 0, 22
999-AXC000006-E, 2840, 2577, 118, 145, 296, 0, 296, true, 0, 292
999-AYC000007-E, 7350, 2374, 241, 113, 4622, 4622, 0, true, 0, 33
