Component, Annexure Number, New Scrap
999-AYC000477-E,1137,7
999-CKC000029-E,1137,1
999-ACC000021-E,1214,27
110-CCA000006-M,1221,18
999-AYC000063-E,1227,37
999-AYC000267-E,1239,32
999-BEC000117-E,1169,13
999-CMCT00050-E,1243,1
999-AIC000079-E,1345,3
999-CLC000160-E,1347,4
999-ARC000009-E,1348,3
999-COC000012-E,1356,4
999-AYC395273-E,1202,10
999-AYC000316-E,1494,375
999-AYC395535-E,1494,306
999-AYC395535-E,1491,4
999-AYC395535-E,1227,13
999-AYC395535-E,1126,18
115-PCC000009-E,1647,1
999-ACC000232-E,1203,811
999-CAC000437-E,1822,13
999-ACC000073-E,1491,102
999-BEC000177-E,1210,2
999-CFC000037-M,1981,6
160-CDC000065-M,53,23
999-CLC000224-E,1144,20
999-BGC000062-E,225,1
120-CGC000040-M,238,8987
998-CECSPP013-M,1144,1
999-AJC000039-E,1144,9
999-AJC000062-E,1144,2
999-AXCT00086-E,1144,5
999-AYC000201-E,1144,225
999-AYC000208-E,1144,310
999-AYC000219-E,1144,106
999-AYC000300-E,1144,3
999-BBC000090-E,1144,1
999-CAC000061-E,1144,4
999-CLC000200-E,1144,1
999-CLC000260-E,1144,11
999-ACC000067-E,1145,7
999-ACC000093-E,1145,13
999-ACC000126-E,1145,4
999-ACC000238-E,1145,2
999-ACC000367-E,1145,1
999-AIC000068-E,1145,5
999-AIC000069-E,1145,1
999-AJC000046-E,1145,24
999-AJC000069-E,1145,23
999-AJC000070-E,1145,2
999-AOC000077-E,1145,180
999-AXC000009-E,1145,1
999-AXC000039-E,1145,111
999-AYC000039-E,1145,39
999-AYC000213-E,1145,310
999-AYC000223-E,1145,539
999-AYC000234-E,1145,47
999-AYC000348-E,1145,19
999-AYC000444-E,1145,25
999-BEC000192-E,1145,2
999-BJC000011-E,1145,10
999-BUC000011-E,1145,0
999-CLC000243-E,1145,3
999-CLC000278-E,1145,1
999-ACC000134-E,1147,27
999-BPC000083-E,1147,73
999-BPC000110-E,1147,1
999-CAC000909-E,1147,1
999-CAC000992-E,1147,1
999-CLC000259-E,1147,5
999-CMC000137-E,1147,1
999-CMCT00054-E,1147,5
999-BEC000220-E,1150,2
999-BVC000083-E,1150,1
999-ACC000059-E,1155,395
999-CLC000246-E,1155,65
999-BEC000322-E,1162,151
999-AOC000003-E,1199,1
999-CAC000294-E,1199,2
999-CAC000302-E,1199,1
999-BEC000143-E,1202,2
999-BBC000091-E,1202,12
999-BEC000302-E,1202,6
999-BKC000008-E,1202,1
999-CLC000250-E,1202,130
999-ACC000122-E,1199,10
999-CAC000814-E,1202,2
999-CAC000815-E,1202,1
999-AYC000117-E,1203,33
999-CLC000139-E,1203,51
999-CLC000377-E,1203,10
999-ALC000003-E,1210,2
999-AYC000135-E,1210,7
999-AYC595502-E,1210,1
999-CLC000123-E,1210,6
999-AXC000046-E,1223,10
999-AYC000158-E,1223,9
999-AYC000175-E,1223,21
999-BPC000111-E,1147,9
999-CLC000027-E,1241,14
998-BZA000189-X,1337,1
999-CECSMX012-M,1337,3
140-CGC000009-M,1337,3
140-CGC000020-M,1337,10
999-CECSCX045-M,1337,2
999-BPC000038-E,1351,5
999-CAC000383-E,1351,1
999-CMC000027-E,1351,8
999-CLC000159-E,1347,6
999-CMC000026-E,1386,12
115-PCC000011-E,1419,1
999-AJC000015-E,1447,20
999-AXC800004-E,1347,16
999-CLC000211-E,1447,3
999-CAC000505-E,1447,7
999-AYC000225-E,1447,308
999-AYCB93501-E,1447,2
999-CBC000092-E,1447,22
999-ACC316751-E,1447,31
999-ADC857001-E,1447,2
999-AJC000002-E,1447,1
999-AYC395507-E,1147,123
999-CLC000164-E,1347,1
999-CAC000343-E,1447,16
999-BEC000120-E,1447,22
999-ADC837752-E,1447,82
999-AGC844501-E,1447,10
999-AIC000002-E,1447,2
999-AJC000004-E,1447,1
999-AXC800003-E,1447,4
999-CLC000024-E,1447,1
999-CLC000051-E,1347,13
999-AYC855502-E,1447,3
999-ACC000041-E,1447,76
999-AYC000096-E,1447,42
999-AYC000130-E,1447,112
999-CJC000010-E,1447,2
999-AXC000061-E,1447,4
999-AXC000089-E,1447,2
999-BEC000208-E,1447,2
999-CAC000108-E,1447,6
999-CAC000328-E,1447,87
999-ACC316252-E,1453,23
999-CAC000597-E,1453,3
999-CLC000398-E,1453,11
999-BVC000081-E,1453,13
999-AMC000007-E,1453,158
999-AYC000229-E,1243,311
999-AYC000138-E,1453,619
999-AYC000331-E,1453,183
999-CAC000161-E,1280,1
999-ACC000018-E,1453,16
999-ACC315250-E,1453,94
999-ADC000026-E,1453,2
999-CAC000289-E,1453,3
999-ACC316503-E,1453,7
999-CAC000370-E,1453,12
999-ACC000052-E,1215,3183
999-CIC000040-E,1470,345
999-CAC000407-E,1470,24
999-ACC000100-E,22,5180
