Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014258772,2/13/2015,1628,2/13/2015,1,130-PCC000021-E,80,0,1147,342,30-Mar-15,115-PCA000084-E,10,ASSEMBLY,1,10,44,1,,35,0
,,,,,,,,,343,30-Mar-15,115-PCA000084-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,51,22-May-15,115-PCA000084-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,108,19-Jun-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,159,24-Jul-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,195,21-Sep-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,197,25-Sep-15,115-PCA000084-E,17,ASSEMBLY,1,17,,,,,
,,,,,,,,,235,19-Jan-16,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
2014258763,2/13/2015,1628,2/13/2015,2,998-BZA000769-X,320,18,1342,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,1,50,327,11,,0,0
,,,,,,,,,278,17-Mar-15,170-PCA000002-E,41,ASSEMBLY,1,41,,,,,
,,,,,,,,,304,25-Mar-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,353,30-Mar-15,170-PCA000002-E,14,ASSEMBLY,1,14,,,,,
,,,,,,,,,354,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,1,25,,,,,
,,,,,,,,,355,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,1,25,,,,,
,,,,,,,,,9,14-Apr-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,14,17-Apr-15,170-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,20,21-Apr-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,27,24-Apr-15,170-PCA000002-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,28,27-Apr-15,170-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,43,19-May-15,170-PCA000002-E,19,ASSEMBLY,1,19,,,,,
,,,,,,,,,48,22-May-15,170-PCA000002-E,45,ASSEMBLY,1,45,,,,,
,,,,,,,,,55,23-May-15,170-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,58,25-May-15,170-PCA000002-E,25,ASSEMBLY,1,25,,,,,
,,,,,,,,,60,26-May-15,170-PCA000002-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,63,27-May-15,170-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,72,31-May-15,170-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,130,07-Jul-15,170-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,132,09-Jul-15,170-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,242,19-Jan-16,170-PCA000002-E,2,ASSEMBLY,1,2,,,,,
2014258772,2/13/2015,1628,2/13/2015,3,999-ABC000010-E,300,218,1579,,,,,,,,0,198,,320,0
2014258763,2/13/2015,1628,2/13/2015,4,999-ACC000189-E,2000,16,1578,,,,,,,,0,2016,1736,0,0
2014258772,2/13/2015,1628,2/13/2015,5,999-ACC338501-E,2630,112,1559,,,,,,,,0,28,119,2714,0
2014258772,2/13/2015,1628,2/13/2015,6,999-ACC757502-E,300,9,1550,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,4,140,284,13,1735,0,12
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,4,24,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,4,20,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,4,64,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,4,36,,,,,
2014258772,2/13/2015,1628,2/13/2015,7,999-ADCD87751-E,500,909,1494,,,,,,,,0,1409,173,0,0
2014258772,2/13/2015,1628,2/13/2015,8,999-AHCA16001-E,96,80,1493,,,,,,,,0,176,,0,0
2014258772,2/13/2015,1628,2/13/2015,9,999-AIC000065-E,610,405,1577,48,22-May-15,170-PCA000002-E,45,ASSEMBLY,11,495,814,160,1736,0,41
,,,,,,,,,55,23-May-15,170-PCA000002-E,4,ASSEMBLY,11,44,,,,,
,,,,,,,,,58,25-May-15,170-PCA000002-E,25,ASSEMBLY,11,275,,,,,
2014258763,2/13/2015,1628,2/13/2015,10,999-AJC000008-E,1300,78,1523,43,19-May-15,170-PCA000002-E,19,ASSEMBLY,6,114,964,20,,394,0
,,,,,,,,,50,22-May-15,141-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,48,22-May-15,170-PCA000002-E,45,ASSEMBLY,6,270,,,,,
,,,,,,,,,55,23-May-15,170-PCA000002-E,4,ASSEMBLY,6,24,,,,,
,,,,,,,,,58,25-May-15,170-PCA000002-E,25,ASSEMBLY,6,150,,,,,
,,,,,,,,,60,26-May-15,170-PCA000002-E,50,ASSEMBLY,6,300,,,,,
,,,,,,,,,63,27-May-15,170-PCA000002-E,4,ASSEMBLY,6,24,,,,,
,,,,,,,,,72,31-May-15,170-PCA000002-E,4,ASSEMBLY,6,24,,,,,
,,,,,,,,,118,26-Jun-15,141-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,130,07-Jul-15,170-PCA000002-E,3,ASSEMBLY,6,18,,,,,
,,,,,,,,,135,09-Jul-15,141-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,132,09-Jul-15,170-PCA000002-E,3,ASSEMBLY,6,18,,,,,
,,,,,,,,,240,19-Jan-16,141-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,242,19-Jan-16,170-PCA000002-E,2,ASSEMBLY,6,12,,,,,
2014258772,2/13/2015,1628,2/13/2015,11,999-ARC000002-E,170,19,1491,,,,,,,,0,41,120,148,0
2014258772,2/13/2015,1628,2/13/2015,12,999-AYC000037-E,2700,55,1611,80,03-Jun-15,104-PCA000003-E,35,ASSEMBLY,20,700,1272,78,,1295,110
,,,,,,,,,83,05-Jun-15,104-PCA000003-E,4,ASSEMBLY,20,80,,,,,
,,,,,,,,,91,11-Jun-15,104-PCA000003-E,6,ASSEMBLY,20,120,,,,,
,,,,,,,,,136,09-Jul-15,104-PCA000003-E,4,ASSEMBLY,20,80,,,,,
,,,,,,,,,152,20-Jul-15,104-PCA000003-E,5,ASSEMBLY,20,100,,,,,
,,,,,,,,,171,31-Jul-15,115-PCA000039-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,176,05-Aug-15,115-PCA000039-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,179,10-Aug-15,115-PCA000039-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,191,21-Sep-15,115-PCA000039-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,192,21-Sep-15,104-PCA000003-E,1,ASSEMBLY,20,20,,,,,
,,,,,,,,,243,19-Jan-16,115-PCA000039-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,237,19-Jan-16,104-PCA000003-E,7,ASSEMBLY,20,140,,,,,
2014258772,2/13/2015,1628,2/13/2015,13,999-AYC000132-E,3900,1002,1585,,,,,,,,0,13,,4889,0
2014258772,2/13/2015,1628,2/13/2015,14,999-AYC393516-E,320,2931,1597,,,,,,,,0,65,120,3186,0
2014258772,2/13/2015,1628,2/13/2015,15,999-AYC395262-E,200,154,1559,,,,,,,,0,69,1751,285,0
2014258772,2/13/2015,1628,2/13/2015,16,999-AYC395503-E,2060,445,1563,,,,,,,,0,813,1628,1692,0
2014258763,2/13/2015,1628,2/13/2015,17,999-AYC395503-E,700,813,1563,,,,,,,,0,299,1628,1214,0
2014258772,2/13/2015,1628,2/13/2015,18,999-BEC000142-E,69,117,1491,,,,,,,,0,8,,178,0
2014258772,2/13/2015,1628,2/13/2015,19,999-BEC000150-E,30,80,1522,,,,,,,,0,6,,104,0
2014258763,2/13/2015,1628,2/13/2015,20,999-BGC000022-E,180,5,1280,84,06-Jun-15,170-PCA000003-E,14,ASSEMBLY,1,14,182,3,40,0,0
,,,,,,,,,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,1,16,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,117,26-Jun-15,170-PCA000003-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,119,30-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,126,02-Jul-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,127,07-Jul-15,170-PCA000003-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,236,19-Jan-16,170-PCA000003-E,2,ASSEMBLY,1,2,,,,,
2014258772,2/13/2015,1628,2/13/2015,21,999-BGC000092-E,7,212,1578,,,,,,,,0,219,1740,0,0
2014258763,2/13/2015,1628,2/13/2015,22,999-BHC000001-E,500,3690,1553,,,,,,,,0,51,33,4139,0
2014258772,2/13/2015,1628,2/13/2015,23,999-BPC000052-E,5,15,1147,,,,,,,,0,1,,19,0
2014258763,2/13/2015,1628,2/13/2015,24,999-BTC000024-E,100,2,1356,343,30-Mar-15,115-PCA000084-E,10,ASSEMBLY,1,10,74,0,,28,0
,,,,,,,,,344,30-Mar-15,130-PCA000207-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,51,22-May-15,115-PCA000084-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,108,19-Jun-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,159,24-Jul-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,195,21-Sep-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,197,25-Sep-15,115-PCA000084-E,17,ASSEMBLY,1,17,,,,,
