Pstng Date,Material,Material Description,Quantity,Mat. Doc.,Annexure Ref,Annexure date
11/21/2014,170-PCC000019-E,Bareboard of TJ1700FTU2 - Fan tray unit,120,2014244079,1099,11/22/2014
11/21/2014,999-ACC000013-E,"Cap,X5R,10uF,1206,25V,10%",3600,2014244079,1099,11/22/2014
11/21/2014,999-ACC000023-E,"Cap,X5R,47uF,1206,6.3V,20%",1000,2014244079,1099,11/22/2014
11/21/2014,999-ACC000038-E,"Cap,X7R,1.5nF,0805,200V,20%",200,2014244079,1099,11/22/2014
11/21/2014,999-ACC000061-E,"Cap,X7R,4.7nF,2220,250V,20%",3300,2014244079,1099,11/22/2014
11/21/2014,999-ACC000120-E,"Cap,X7R,2.2uF,1812,100V,20% FlexiTermina",2400,2014244079,1099,11/22/2014
11/21/2014,999-AIC000008-E,Diode 120V 0.2A 50nS 5pFSOT23 General Pu,233,2014244079,1099,11/22/2014
11/21/2014,999-AJC000008-E,Fuse 2.5  A  Slow Blow SMD Nano 452 Seri,700,2014244079,1099,11/22/2014
11/21/2014,999-AXC000018-E,Opto-Coupler 2.5KV 80-600%Phototransisto,1500,2014244079,1099,11/22/2014
11/21/2014,999-AYC000258-E,"Resistor,20K,1/10W,+/-1%,0603",200,2014244079,1099,11/22/2014
11/21/2014,999-AYC000339-E,"Resistor, Thick Film 4.7k +/-1% 1/10W SM",9650,2014244079,1099,11/22/2014
11/21/2014,999-AYC393509-E,Resistor 110 Kilo Ohms 1% SMD RC0603 1/1,500,2014244079,1099,11/22/2014
11/21/2014,999-CAC000559-E,"Connecto 2 Left power contacts, 12 signa",132,2014244079,1099,11/22/2014
11/21/2014,999-CAC000718-E,FINGER GAURD FOR 92mm FAN,100,2014244079,1099,11/22/2014
11/21/2014,999-CAC000784-E,"4 Pin Header, 2.50mm Pitch, P9055 Series",700,2014244079,1099,11/22/2014
11/21/2014,999-CAC001039-E,CONN DISCRETE CABLE HEADER 3 PIN,120,2014244079,1099,11/22/2014
11/22/2014,170-CDA000010-M,FAN TRAY ASSY-TJ1700,105,2014244274,1099,11/22/2014
11/22/2014,170-CGC000005-M,STICKER TJ1700 FTU,120,2014244274,1099,11/22/2014
11/22/2014,998-BZA000769-X,CABLE ASSEMBLY POWER LED-TJ1700,110,2014244274,1099,11/22/2014
11/22/2014,998-BZA000857-X,"CONECTORISED FAN ASSY, 4 WIRE, 92X92x38",8,2014244296,1099,11/22/2014
11/22/2014,998-CPC000068-M,ESD WARNING STICKER,423,2014244274,1099,11/22/2014
11/22/2014,998-CPC000132-M,ANTISTATIC BAG-E1 PROTECTION,100,2014244274,1099,11/22/2014
11/22/2014,998-CPC000208-M,UNIT PACKING LABEL 50X100-GENERAL,1000,2014244274,1099,11/22/2014
11/22/2014,999-ACC000065-E,"Cap,X7R,22nF,1206,50V,10%",200,2014244296,1099,11/22/2014
11/22/2014,999-ACC000068-E,Capacitor 0.47UF 16V 10% SMD 0603 Indust,200,2014244296,1099,11/22/2014
11/22/2014,999-ACC000083-E,"Capacitor,0.1uF,+/-10%,100V,X7R,1206",600,2014244296,1099,11/22/2014
11/22/2014,999-ACC000100-E,"CAP 100nF,0603,X7R,10% 25V ,-55 /125 C.",25750,2014244296,1099,11/22/2014
