Plant,Vendor No.,Vendor Name,PO No,PO date,TPN,Description,Qty Invoiced, PO Unit Price ,Inv/Challan Number,Inv/Challan Date, Shipment Value ,Shipment Pick up date
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400425,28-Nov-14,170-PCA000002-E,FTU,29,567.45,90,2-Dec-14,18491,2-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,11,921.72,95,5-Dec-14,11392,5-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,24,921.72,97,6-Dec-14,24856,6-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,17,921.72,100,8-Dec-14,17606,8-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,40,717.96,101,8-Dec-14,32267,8-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,18,717.96,102,9-Dec-14,20734,9-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,6,921.72,102,9-Dec-14,20734,9-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,9,921.72,104,10-Dec-14,35941,10-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,33,717.96,104,10-Dec-14,35941,10-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,37,717.96,105,11-Dec-14,29849,11-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,58,921.72,107,15-Dec-14,60067,16-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400433,5-Dec-14,170-PCA000003-E,OAM,10,921.72,111,19-Dec-14,95776,19-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,34,717.96,111,19-Dec-14,95776,19-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,43,1200.29,111,19-Dec-14,95776,19-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400425,28-Nov-14,170-PCA000002-E,FTU,35,567.45,117,24-Dec-14,45243,24-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,17,1200.29,117,24-Dec-14,45243,24-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,12,717.96,119,26-Dec-14,28810,26-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400425,28-Nov-14,170-PCA000002-E,FTU,30,567.45,119,26-Dec-14,28810,26-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400434,8-Dec-14,170-PCA000084-E,PFU3,2,717.96,125,31-Dec-14,1613,31-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400448,24-Dec-14,104-PCA000001-E,Cap panel,47,111.21,126,31-Dec-14,5873,31-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,25,1200.29,127,31-Dec-14,33716,31-Dec-14
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400456,31-Dec-14,130-PCA000207-E,Elan04,10,7934.49,130,31-Dec-14,89151,6-Mar-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400456,31-Dec-14,130-PCA000207-E,Elan04,4,7934.49,132,31-Dec-14,35661,3-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,14,1200.29,140,3-Jan-15,18880,3-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400456,31-Dec-14,130-PCA000207-E,Elan04,5,7934.49,131,31-Dec-14,44576,7-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,4,1200.29,145,7-Jan-15,5395,7-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400458,31-Dec-14,103-PCA000027-E,PSU,25,442.23,133,31-Dec-14,12423,10-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400458,31-Dec-14,103-PCA000027-E,PSU,25,442.23,137,31-Dec-14,12423,10-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400458,31-Dec-14,103-PCA000027-E,PSU,58,442.23,150,10-Jan-15,28820,10-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400456,31-Dec-14,130-PCA000207-E,Elan04,10,7934.49,129,31-Dec-14,89151,13-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400456,31-Dec-14,130-PCA000207-E,Elan04,1,7934,159,19-Jan-15,8915,20-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400437,11-Dec-14,170-PCA000256-E,OFA,4,1200.29,158,19-Jan-15,5395,20-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400458,31-Dec-14,103-PCA000027-E,PSU,2,442.23,157,19-Jan-15,993,20-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,15,1046.61,134,31-Dec-14,17640,20-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,15,1046.61,135,31-Dec-14,17640,21-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,7,1046.61,136,31-Dec-14,8232,21-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,50,1046.61,166,22-Jan-15,58800,22-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,70,1046.61,168,23-Jan-15,82319,23-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,70,1046.61,170,24-Jan-15,82319,27-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,100,1046.61,172,27-Jan-15,117597,27-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,60,1046.61,174,28-Jan-15,70559,28-Jan-15
1035,300079,PRO INNOVATIVE TECHNOLOGIES PVT LTD,1101400459,31-Dec-14,141-PCA000002-E,ST63,70,1046.61,177,30-Jan-15,82319,30-Jan-15
