Component, Board, Invoice Number, Invoice Date, Board Quantity, Component Consumption, Total Component Quantity
001-PCC000015-E,170-PCA000003-E,95,05-Dec-14,11,1,11
001-PCC000015-E,170-PCA000003-E,97,06-Dec-14,24,1,24
001-PCC000015-E,170-PCA000003-E,100,08-Dec-14,17,1,17
001-PCC000015-E,170-PCA000003-E,102,09-Dec-14,6,1,6
001-PCC000015-E,170-PCA000003-E,104,10-Dec-14,9,1,9
001-PCC000015-E,170-PCA000003-E,107,15-Dec-14,58,1,58
001-PCC000015-E,170-PCA000003-E,111,19-Dec-14,10,1,10
001-PCC000015-E,170-PCA000003-E,287,18-Mar-15,1,1,1
001-PCC000015-E,170-PCA000003-E,288,18-Mar-15,10,1,10
001-PCC000015-E,170-PCA000003-E,292,19-Mar-15,22,1,22
001-PCC000015-E,170-PCA000003-E,298,20-Mar-15,22,1,22
001-PCC000015-E,170-PCA000003-E,301,23-Mar-15,15,1,15
001-PCC000015-E,170-PCA000003-E,303,25-Mar-15,6,1,6
001-PCC000015-E,170-PCA000003-E,312,26-Mar-15,4,1,4
001-PCC000015-E,170-PCA000003-E,356,30-Mar-15,16,1,16
001-PCC000015-E,170-PCA000003-E,357,30-Mar-15,12,1,12
001-PCC000015-E,170-PCA000003-E,358,30-Mar-15,20,1,20
001-PCC000015-E,170-PCA000003-E,359,30-Mar-15,12,1,12
001-PCC000015-E,170-PCA000003-E,16,21-Apr-15,1,1,1
001-PCC000015-E,170-PCA000003-E,65,27-May-15,5,1,5
001-PCC000015-E,170-PCA000003-E,77,03-Jun-15,1,1,1
001-PCC000015-E,170-PCA000003-E,84,06-Jun-15,11,1,11
001-PCC000015-E,170-PCA000003-E,84,06-Jun-15,14,1,14
001-PCC000015-E,170-PCA000003-E,86,10-Jun-15,50,1,50
001-PCC000015-E,170-PCA000003-E,93,11-Jun-15,20,1,20
001-PCC000015-E,170-PCA000003-E,96,13-Jun-15,35,1,35
001-PCC000015-E,170-PCA000003-E,98,15-Jun-15,6,1,6
001-PCC000015-E,170-PCA000003-E,101,16-Jun-15,5,1,5
001-PCC000015-E,170-PCA000003-E,105,18-Jun-15,16,1,16
001-PCC000015-E,170-PCA000003-E,111,23-Jun-15,9,1,9
001-PCC000015-E,170-PCA000003-E,117,26-Jun-15,10,1,10
001-PCC000015-E,170-PCA000003-E,119,30-Jun-15,6,1,6
001-PCC000015-E,170-PCA000003-E,126,02-Jul-15,5,1,5
001-PCC000015-E,170-PCA000003-E,127,07-Jul-15,3,1,3
001-PCC000015-E,170-PCA000003-E,190,21-Sep-15,1,1,1
001-PCC000015-E,170-PCA000003-E,236,19-Jan-16,2,1,2
001-PCC000044-E,001-PCA000062-E,141,13-Jul-15,10,1,10
001-PCC000044-E,001-PCA000062-E,145,15-Jul-15,34,1,34
001-PCC000044-E,001-PCA000062-E,189,21-Sep-15,6,1,6
001-PCC000060-E,140-SKU000004-P,366,31-Mar-15,3,1,3
001-PCC000060-E,140-SKU000004-P,367,31-Mar-15,3,1,3
001-PCC000060-E,140-SKU000004-P,32,07-May-15,3,1,3
001-PCC000060-E,140-SKU000004-P,34,08-May-15,4,1,4
001-PCC000060-E,140-SKU000004-P,35,11-May-15,1,1,1
001-PCC000060-E,140-SKU000004-P,133,09-Jul-15,3,1,3
001-PCC000060-E,140-SKU000004-P,155,24-Jul-15,2,1,2
001-PCC000060-E,140-SKU000004-P,178,05-Aug-15,1,1,1
001-PCCSY5R13-E,115-PCA000039-E,196,13-Feb-15,50,1,50
001-PCCSY5R13-E,115-PCA000039-E,199,16-Feb-15,23,1,23
001-PCCSY5R13-E,115-PCA000039-E,260,13-Mar-15,1,1,1
001-PCCSY5R13-E,115-PCA000039-E,327,30-Mar-15,5,1,5
001-PCCSY5R13-E,115-PCA000039-E,339,30-Mar-15,3,1,3
001-PCCSY5R13-E,115-PCA000039-E,340,30-Mar-15,16,1,16
001-PCCSY5R13-E,115-PCA000039-E,171,31-Jul-15,2,1,2
001-PCCSY5R13-E,115-PCA000039-E,176,05-Aug-15,5,1,5
001-PCCSY5R13-E,115-PCA000039-E,179,10-Aug-15,4,1,4
001-PCCSY5R13-E,115-PCA000039-E,191,21-Sep-15,2,1,2
001-PCCSY5R13-E,115-PCA000039-E,243,19-Jan-16,3,1,3
102-CDC000015-M,104-PCA000001-E,126,31-Dec-14,47,1,47
102-CDC000015-M,104-PCA000001-E,126,31-Dec-14,47,0,0
102-CDC000015-M,104-PCA000001-E,223,26-Feb-15,50,1,50
102-CDC000015-M,104-PCA000001-E,223,26-Feb-15,50,0,0
102-CDC000015-M,104-PCA000001-E,232,02-Mar-15,60,1,60
102-CDC000015-M,104-PCA000001-E,232,02-Mar-15,60,0,0
102-CDC000015-M,104-PCA000001-E,234,03-Mar-15,80,1,80
102-CDC000015-M,104-PCA000001-E,234,03-Mar-15,80,0,0
102-CDC000015-M,104-PCA000001-E,237,04-Mar-15,110,1,110
102-CDC000015-M,104-PCA000001-E,237,04-Mar-15,110,0,0
102-CDC000015-M,104-PCA000001-E,241,05-Mar-15,117,1,117
102-CDC000015-M,104-PCA000001-E,241,05-Mar-15,117,0,0
102-CDC000015-M,104-PCA000001-E,243,06-Mar-15,54,1,54
102-CDC000015-M,104-PCA000001-E,243,06-Mar-15,54,0,0
102-CDC000015-M,104-PCA000001-E,254,09-Mar-15,34,1,34
102-CDC000015-M,104-PCA000001-E,254,09-Mar-15,34,0,0
102-CDC000015-M,104-PCA000001-E,256,12-Mar-15,67,1,67
102-CDC000015-M,104-PCA000001-E,256,12-Mar-15,67,0,0
102-CDC000015-M,104-PCA000001-E,258,13-Mar-15,3,1,3
102-CDC000015-M,104-PCA000001-E,258,13-Mar-15,3,0,0
102-CDC000015-M,104-PCA000001-E,306,25-Mar-15,5,1,5
102-CDC000015-M,104-PCA000001-E,306,25-Mar-15,5,0,0
102-CDC000015-M,104-PCA000001-E,311,26-Mar-15,5,1,5
102-CDC000015-M,104-PCA000001-E,311,26-Mar-15,5,0,0
102-CDC000015-M,104-PCA000001-E,319,27-Mar-15,10,1,10
102-CDC000015-M,104-PCA000001-E,319,27-Mar-15,10,0,0
102-CDC000015-M,104-PCA000001-E,321,28-Mar-15,35,1,35
102-CDC000015-M,104-PCA000001-E,321,28-Mar-15,35,0,0
102-CDC000015-M,104-PCA000001-E,370,31-Mar-15,3,1,3
102-CDC000015-M,104-PCA000001-E,372,31-Mar-15,4,1,4
102-CDC000015-M,104-PCA000001-E,370,31-Mar-15,3,0,0
102-CDC000015-M,104-PCA000001-E,372,31-Mar-15,4,0,0
102-CDC000015-M,104-PCA000001-E,3,07-Apr-15,5,1,5
102-CDC000015-M,104-PCA000001-E,3,07-Apr-15,5,0,0
102-CDC000015-M,104-PCA000001-E,15,17-Apr-15,3,1,3
102-CDC000015-M,104-PCA000001-E,15,17-Apr-15,3,0,0
102-CDC000015-M,104-PCA000001-E,25,22-Apr-15,2,1,2
102-CDC000015-M,104-PCA000001-E,25,22-Apr-15,2,0,0
102-CDC000015-M,104-PCA000001-E,30,04-May-15,1,1,1
102-CDC000015-M,104-PCA000001-E,30,04-May-15,1,0,0
102-CDC000015-M,104-PCA000025-E,37,05-May-15,135,0,0
102-CDC000015-M,104-PCA000025-E,39,13-May-15,5,0,0
102-CDC000015-M,104-PCA000025-E,56,23-May-15,9,0,0
102-CDC000015-M,104-PCA000001-E,90,11-Jun-15,8,1,8
102-CDC000015-M,104-PCA000001-E,90,11-Jun-15,8,0,0
102-CDC000015-M,104-PCA000001-E,161,24-Jul-15,1,1,1
102-CDC000015-M,104-PCA000001-E,161,24-Jul-15,1,0,0
102-CDC000015-M,104-PCA000025-E,156,24-Jul-15,2,0,0
102-CDC000015-M,104-PCA000025-E,193,21-Sep-15,1,0,0
102-CDC000015-M,104-PCA000001-E,231,13-Jan-16,2,1,2
102-CDC000015-M,104-PCA000001-E,231,13-Jan-16,2,0,0
102-CDC000015-M,104-PCA000025-E,230,13-Jan-16,3,0,0
102-PCC000013-E,104-PCA000001-E,126,31-Dec-14,47,1,47
102-PCC000013-E,104-PCA000001-E,223,26-Feb-15,50,1,50
102-PCC000013-E,104-PCA000001-E,232,02-Mar-15,60,1,60
102-PCC000013-E,104-PCA000001-E,234,03-Mar-15,80,1,80
102-PCC000013-E,104-PCA000001-E,237,04-Mar-15,110,1,110
102-PCC000013-E,104-PCA000001-E,241,05-Mar-15,117,1,117
102-PCC000013-E,104-PCA000001-E,243,06-Mar-15,54,1,54
102-PCC000013-E,104-PCA000001-E,254,09-Mar-15,34,1,34
102-PCC000013-E,104-PCA000001-E,256,12-Mar-15,67,1,67
102-PCC000013-E,104-PCA000001-E,258,13-Mar-15,3,1,3
102-PCC000013-E,104-PCA000001-E,306,25-Mar-15,5,1,5
102-PCC000013-E,104-PCA000001-E,311,26-Mar-15,5,1,5
102-PCC000013-E,104-PCA000001-E,319,27-Mar-15,10,1,10
102-PCC000013-E,104-PCA000001-E,321,28-Mar-15,35,1,35
102-PCC000013-E,104-PCA000001-E,370,31-Mar-15,3,1,3
102-PCC000013-E,104-PCA000001-E,372,31-Mar-15,4,1,4
102-PCC000013-E,104-PCA000001-E,3,07-Apr-15,5,1,5
102-PCC000013-E,104-PCA000001-E,15,17-Apr-15,3,1,3
102-PCC000013-E,104-PCA000001-E,25,22-Apr-15,2,1,2
102-PCC000013-E,104-PCA000001-E,30,04-May-15,1,1,1
102-PCC000013-E,104-PCA000025-E,37,05-May-15,135,1,135
102-PCC000013-E,104-PCA000025-E,39,13-May-15,5,1,5
102-PCC000013-E,104-PCA000025-E,56,23-May-15,9,1,9
102-PCC000013-E,104-PCA000001-E,90,11-Jun-15,8,1,8
102-PCC000013-E,104-PCA000001-E,161,24-Jul-15,1,1,1
102-PCC000013-E,104-PCA000025-E,156,24-Jul-15,2,1,2
102-PCC000013-E,104-PCA000025-E,193,21-Sep-15,1,1,1
102-PCC000013-E,104-PCA000001-E,231,13-Jan-16,2,1,2
102-PCC000013-E,104-PCA000025-E,230,13-Jan-16,3,1,3
102-PCC000014-E,104-PCA000002-E,202,18-Feb-15,30,1,30
102-PCC000014-E,104-PCA000002-E,204,19-Feb-15,30,1,30
102-PCC000014-E,104-PCA000002-E,209,21-Feb-15,19,1,19
102-PCC000014-E,104-PCA000002-E,217,25-Feb-15,12,1,12
102-PCC000014-E,104-PCA000002-E,247,07-Mar-15,2,1,2
102-PCC000014-E,104-PCA000002-E,371,31-Mar-15,9,1,9
102-PCC000014-E,104-PCA000002-E,21,22-Apr-15,1,1,1
102-PCC000014-E,104-PCA000002-E,26,24-Apr-15,2,1,2
102-PCC000014-E,104-PCA000002-E,66,29-May-15,5,1,5
102-PCC000014-E,104-PCA000002-E,66,29-May-15,15,1,15
102-PCC000014-E,104-PCA000002-E,129,07-Jul-15,20,1,20
102-PCC000014-E,104-PCA000002-E,143,13-Jul-15,3,1,3
102-PCC000014-E,104-PCA000002-E,151,20-Jul-15,2,1,2
102-PCCPSU003-E,103-PCA000027-E,133,31-Dec-14,25,1,25
102-PCCPSU003-E,103-PCA000027-E,137,31-Dec-14,25,1,25
102-PCCPSU003-E,103-PCA000027-E,150,10-Jan-15,58,1,58
102-PCCPSU003-E,103-PCA000027-E,157,19-Jan-15,2,1,2
102-PCCPSU003-E,103-PCA000027-E,41,15-May-15,80,1,80
102-PCCPSU003-E,103-PCA000027-E,44,19-May-15,105,1,105
102-PCCPSU003-E,103-PCA000027-E,54,23-May-15,20,1,20
102-PCCPSU003-E,103-PCA000027-E,68,29-May-15,50,1,50
102-PCCPSU003-E,103-PCA000027-E,71,31-May-15,6,1,6
102-PCCPSU003-E,103-PCA000027-E,113,23-Jun-15,2,1,2
102-PCCPSU003-E,103-PCA000027-E,142,13-Jul-15,2,1,2
102-PCCPSU003-E,103-PCA000027-E,160,24-Jul-15,2,1,2
102-PCCPSU003-E,103-PCA000027-E,194,21-Sep-15,1,1,1
102-PCCPSU003-E,103-PCA000027-E,239,19-Jan-16,2,1,2
103-CDC000003-M,130-PCA000205-E,99,15-Jun-15,30,0,0
103-CDC000003-M,130-PCA000205-E,102,16-Jun-15,40,0,0
103-CDC000003-M,130-PCA000205-E,106,18-Jun-15,60,0,0
103-CDC000003-M,130-PCA000205-E,107,19-Jun-15,20,0,0
103-CDC000003-M,130-PCA000205-E,114,23-Jun-15,11,0,0
103-CDC000003-M,130-PCA000205-E,116,26-Jun-15,28,0,0
103-CDC000003-M,130-PCA000205-E,121,30-Jun-15,11,0,0
103-CDC000003-M,130-PCA000205-E,123,02-Jul-15,14,0,0
103-CDC000003-M,130-PCA000205-E,128,07-Jul-15,34,0,0
103-CDC000003-M,130-PCA000205-E,134,09-Jul-15,10,0,0
103-CDC000003-M,130-PCA000205-E,153,20-Jul-15,16,0,0
103-CDC000003-M,130-PCA000205-E,157,24-Jul-15,2,0,0
103-CDC000003-M,130-PCA000205-E,170,31-Jul-15,5,0,0
103-CDC000003-M,130-PCA000205-E,233,14-Jan-16,26,0,0
103-CDC000003-M,130-PCA000205-E,241,19-Jan-16,3,0,0
104-PCC000001-E,104-PCA000003-E,205,20-Feb-15,100,1,100
104-PCC000001-E,104-PCA000003-E,210,21-Feb-15,140,1,140
104-PCC000001-E,104-PCA000003-E,212,23-Feb-15,260,1,260
104-PCC000001-E,104-PCA000003-E,215,24-Feb-15,100,1,100
104-PCC000001-E,104-PCA000003-E,218,25-Feb-15,20,1,20
104-PCC000001-E,104-PCA000003-E,228,27-Feb-15,27,1,27
104-PCC000001-E,104-PCA000003-E,235,03-Mar-15,40,1,40
104-PCC000001-E,104-PCA000003-E,236,04-Mar-15,20,1,20
104-PCC000001-E,104-PCA000003-E,242,06-Mar-15,8,1,8
104-PCC000001-E,104-PCA000003-E,245,07-Mar-15,3,1,3
104-PCC000001-E,104-PCA000003-E,253,09-Mar-15,7,1,7
104-PCC000001-E,104-PCA000003-E,264,13-Mar-15,2,1,2
104-PCC000001-E,104-PCA000003-E,332,30-Mar-15,1,1,1
104-PCC000001-E,104-PCA000003-E,8,14-Apr-15,3,1,3
104-PCC000001-E,104-PCA000003-E,18,21-Apr-15,11,1,11
104-PCC000001-E,104-PCA000003-E,22,22-Apr-15,14,1,14
104-PCC000001-E,104-PCA000003-E,69,31-May-15,14,1,14
104-PCC000001-E,104-PCA000003-E,69,31-May-15,11,1,11
104-PCC000001-E,104-PCA000003-E,73,31-May-15,40,1,40
104-PCC000001-E,104-PCA000003-E,74,02-Jun-15,15,1,15
104-PCC000001-E,104-PCA000003-E,80,03-Jun-15,35,1,35
104-PCC000001-E,104-PCA000003-E,83,05-Jun-15,4,1,4
104-PCC000001-E,104-PCA000003-E,91,11-Jun-15,6,1,6
104-PCC000001-E,104-PCA000003-E,136,09-Jul-15,4,1,4
104-PCC000001-E,104-PCA000003-E,152,20-Jul-15,5,1,5
104-PCC000001-E,104-PCA000003-E,192,21-Sep-15,1,1,1
104-PCC000001-E,104-PCA000003-E,237,19-Jan-16,7,1,7
104-PCC000002-E,104-PCA000004-E,220,25-Feb-15,5,1,5
104-PCC000002-E,104-PCA000004-E,222,26-Feb-15,20,1,20
104-PCC000002-E,104-PCA000004-E,224,27-Feb-15,18,1,18
104-PCC000002-E,104-PCA000004-E,227,27-Feb-15,7,1,7
104-PCC000002-E,104-PCA000004-E,230,28-Feb-15,20,1,20
104-PCC000002-E,104-PCA000004-E,231,02-Mar-15,10,1,10
104-PCC000002-E,104-PCA000004-E,233,03-Mar-15,4,1,4
104-PCC000002-E,104-PCA000004-E,240,05-Mar-15,7,1,7
104-PCC000002-E,104-PCA000004-E,244,06-Mar-15,3,1,3
104-PCC000002-E,104-PCA000004-E,246,07-Mar-15,1,1,1
104-PCC000002-E,104-PCA000004-E,259,13-Mar-15,1,1,1
104-PCC000002-E,104-PCA000004-E,310,26-Mar-15,7,1,7
104-PCC000002-E,104-PCA000004-E,319,27-Mar-15,3,1,3
104-PCC000002-E,104-PCA000004-E,322,28-Mar-15,1,1,1
104-PCC000002-E,104-PCA000004-E,333,30-Mar-15,1,1,1
104-PCC000002-E,104-PCA000004-E,19,21-Apr-15,1,1,1
104-PCC000002-E,104-PCA000004-E,23,22-Apr-15,1,1,1
104-PCC000002-E,104-PCA000004-E,36,11-May-15,3,1,3
104-PCC000002-E,104-PCA000004-E,238,19-Jan-16,4,1,4
104-PCC000002-E,104-PCA000004-E,246,09-Feb-16,1,1,1
110-CCA000006-M,115-PCA000037-E,202,18-Feb-15,3,1,3
110-CCA000006-M,115-PCA000037-E,207,20-Feb-15,15,1,15
110-CCA000006-M,115-PCA000037-E,213,23-Feb-15,8,1,8
110-CCA000006-M,115-PCA000037-E,214,24-Feb-15,13,1,13
110-CCA000006-M,115-PCA000037-E,219,25-Feb-15,1,1,1
110-CCA000006-M,115-PCA000037-E,248,07-Mar-15,1,1,1
110-CCA000006-M,115-PCA000037-E,263,13-Mar-15,5,1,5
110-CCA000006-M,115-PCA000037-E,267,14-Mar-15,4,1,4
110-CCA000006-M,115-PCA000037-E,279,17-Mar-15,3,1,3
110-CCA000006-M,115-PCA000037-E,280,17-Mar-15,1,1,1
110-CCA000006-M,115-PCA000037-E,283,18-Mar-15,1,1,1
110-CCA000006-M,115-PCA000037-E,295,19-Mar-15,1,1,1
110-CCA000006-M,115-PCA000037-E,309,26-Mar-15,11,1,11
110-CCA000006-M,115-PCA000037-E,326,30-Mar-15,5,1,5
110-CCA000006-M,115-PCA000037-E,337,30-Mar-15,15,1,15
110-CCA000006-M,115-PCA000037-E,79,03-Jun-15,1,1,1
110-CCA000006-M,115-PCA000037-E,81,05-Jun-15,6,1,6
