Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
170-PCC000019-E,484,457,4,0,23,23,0, true,0,1550,,,
999-ACC000013-E,94230,52648,2356,0,39226,39226,0, true,0,33,,,
999-ACC000023-E,41377,25838,1619,0,13920,13920,0, true,0,1493,,,
999-ACC000038-E,930,707,91,0,132,132,0, true,0,1553,,,
999-ACC000061-E,20381,19305,790,0,286,286,0, true,0,142,,,
999-ACC000120-E,11838,11158,591,0,89,89,0, true,0,29,,,
999-AIC000008-E,5379,3364,161,0,1854,1854,0, true,0,1580,,,
999-AJC000008-E,3802,3316,20,0,466,466,0, true,0,1523,,,
999-AXC000018-E,4683,4614,17,0,52,52,0, true,0,1530,,,
999-AYC000258-E,1333,709,515,0,109,109,0, true,0,102,,,
999-AYC000339-E,181046,106824,4873,2068,70929,67281,3648, true,0,1736,,3293,-1580
999-AYC393509-E,3480,1809,485,0,1186,1186,0, true,0,1657,,,
999-CAC000559-E,492,457,0,35,79,0,79, true,0,1578,,-44,
999-CAC000718-E,1425,1371,0,0,54,54,0, true,0,1594,,,
999-CAC000784-E,2767,2742,0,0,25,25,0, true,0,1344,,,
999-CAC001039-E,476,457,19,0,0,0,0, true,0,1523,,,
170-CDA000010-M,459,457,0,0,2,2,0, true,0,1907,,,
170-CGC000005-M,458,457,0,0,1,1,0, true,0,1907,,,
998-BZA000769-X,468,457,11,0,0,0,0, true,0,1342,,,
998-BZA000857-X,2748,2742,0,0,6,6,0, true,0,1263,,,
998-CPC000068-M,5528,3857,1041,0,630,630,0, true,0,1211,,,
998-CPC000132-M,460,457,3,0,0,0,0, true,0,1907,,,
998-CPC000208-M,5000,1811,0,3189,4000,0,4000, true,0,1907,,-811,
999-ACC000065-E,685,457,144,0,84,84,0, true,0,1453,,,
999-ACC000068-E,1122,767,348,0,7,7,0, true,0,1578,,,
999-ACC000083-E,3184,2806,349,0,29,29,0, true,0,33,,,
999-ACC000100-E,257691,201781,9516,46394,51810,0,51810, true,0,293,,4100,-5416
999-ACC315503-E,40133,15108,3564,0,21461,21461,0, true,0,1736,,,
999-ACC316252-E,500,457,43,0,0,0,0, true,0,1099,,,
999-ACC546502-E,724,457,117,0,150,150,0, true,0,1559,,,
999-ADC000031-E,5149,4950,8,0,191,191,0, true,0,1470,,,
999-AIC000030-E,9216,8612,372,39,472,193,279, true,0,142,,132,-240
999-AIC000063-E,3620,3470,150,0,0,0,0, true,0,1735,,,
999-AIC000065-E,8976,7414,349,1213,1531,0,1531, true,0,1799,,31,-318
999-AJC000015-E,949,914,20,0,15,15,0, true,0,1348,,,
999-AJC000019-E,1525,1164,26,0,335,335,0, true,0,1577,,,
999-ARC000003-E,494,457,7,0,30,30,0, true,0,28,,,
999-AXC000094-E,1757,1523,73,68,189,93,96, true,0,292,,45,-28
999-AXC800004-E,6949,6542,121,0,286,286,0, true,0,1347,,,
999-AYC000028-E,4250,2827,323,0,1100,1100,0, true,0,1224,,,
999-AYC000035-E,3582,3244,189,0,149,149,0, true,0,34,,,
999-AYC000163-E,2031,1533,368,0,130,130,0, true,0,1522,,,
999-AYC000306-E,49380,36208,2099,0,11073,11073,0, true,0,1735,,,
999-AYC000325-E,770,457,193,0,120,120,0, true,0,1447,,,
999-AYC393252-E,22964,6811,745,8394,15471,7014,8457, true,0,292,,682,-63
999-AYC393502-E,80411,59097,2796,18518,15664,0,15664, true,0,293,,5650,2854
