Component, Annexure Number, New Scrap
170-PCC000019-E,32,4
999-ACC000023-E,1530,315
999-ACC000038-E,283,53
999-ACC000061-E,297,121
999-ACC000120-E,32,116
999-AJC000008-E,1628,20
999-AXC000018-E,1735,10
999-AYC000258-E,283,477
999-AYC393509-E,1751,383
999-CAC001039-E,22,19
998-BZA000769-X,1628,11
998-CPC000068-M,1867,1041
998-CPC000132-M,161,3
999-ACC000065-E,283,124
999-ACC000068-E,32,303
999-ACC000083-E,292,217
999-ACC315503-E,142,2047
999-ACC316252-E,1453,23
999-ACC546502-E,283,96
999-ADC000031-E,1610,8
999-AIC000063-E,30,79
999-AJC000015-E,1447,20
999-AJC000019-E,1735,26
999-ARC000003-E,157,7
999-AXC800004-E,1447,16
999-AYC000028-E,1579,147
999-AYC000035-E,292,35
999-AYC000163-E,292,282
999-AYC000306-E,293,65
999-AYC000325-E,1961,162
999-AYC393503-E,1597,3371
999-AYC393512-E,292,409
999-AYC395255-E,120,298
999-AYC395275-E,30,8
999-AYC395506-E,1961,170
999-AYC395518-E,1553,234
999-AYC595001-E,1578,205
999-BVC000003-E,1740,116
999-CBCLP0002-E,1647,5
999-CECSMX014-M,22,115
999-CECSMX021-M,22,77
999-CFC000037-M,1981,6
999-CLC000178-E,1833,155
999-CLC000204-E,33,24
999-CLC000211-E,1447,3
999-CLC000249-E,293,34
999-ACC000138-E,161,316
170-CGC000006-M,31,1
170-PCC000003-E,1594,3
999-ACC000121-E,32,155
999-ACC326750-E,1751,22
999-ACC757501-E,292,192
999-ACC757503-E,31,49
999-AHC916751-E,119,696
999-AIC000001-E,1577,11
999-AIC000092-E,1533,3
999-ARC000005-E,28,4
999-AXC000013-E,292,47
999-AYC000014-E,292,107
999-AYC000073-E,1618,87
999-AYC000074-E,293,87
999-AYC815251-E,152,628
999-AYCGA3251-E,120,77
999-AYCGA3252-E,293,277
999-AYCGA3502-E,293,106
999-AYCGA3503-E,293,86
999-AYCGA3505-E,293,222
999-AYCGA3508-E,32,181
999-AYCGA5002-E,292,95
999-BEC000148-E,31,42
999-BHC000001-E,152,140
999-BVC000167-E,1769,22
999-CAC000436-E,28,23
999-CAC000498-E,1523,12
999-CAC000597-E,1453,3
999-CBC000045-E,32,724
999-CIC000032-E,1628,3
999-ABC000001-E,142,3281
999-ACC000123-E,1735,76
999-ACC315026-E,1577,93
999-ACC757502-E,34,444
999-ADC837001-E,29,201
999-AHC926001-E,32,615
999-AIC000007-E,30,299
999-AJC000009-E,34,12
999-AXC000001-E,1735,11
999-AYC000006-E,292,318
999-AYC393516-E,120,243
999-AYC395257-E,1736,573
999-AYCGA3250-E,293,47
999-AYCGA3253-E,293,115
999-AYCGA3255-E,1558,3
999-BGC000002-E,29,1
999-BGC000083-E,34,3
999-CAC000505-E,1447,7
999-CBC000001-E,32,335
999-AYCGA3507-E,292,145
999-BCC000002-E,34,11
999-BGC000022-E,40,5
999-BGC000059-E,1530,15
999-CAC000437-E,1822,13
999-CLC000029-E,1735,13
160-CDC000065-M,53,23
170-CGC000041-M,161,3
170-PCC000043-E,22,4
999-ACC000066-E,157,20
999-ACC000076-E,32,164
999-ACC000078-E,142,126
999-ACC000208-E,33,819
999-ADC000018-E,22,20
999-AIC000128-E,292,228
999-AOC000132-E,293,3
999-AOC000133-E,22,24
999-AYC000007-E,33,113
999-AYC000024-E,119,420
999-AYC000046-E,292,214
999-AYC000054-E,283,136
999-AYC000064-E,292,3430
999-AYC000108-E,292,473
999-AYC000254-E,30,104
999-AYC000293-E,33,26
999-AYC000296-E,292,443
999-AYC000318-E,30,175
999-AYC000557-E,34,33
999-AYC395512-E,292,330
999-AYC395535-E,1585,374
999-BAC000004-E,293,4
999-CAC000941-E,34,6
999-CAC001244-E,1523,9
999-CECNSS002-M,22,14
999-CECSMX008-M,293,114
999-CECSMX022-M,22,2
999-CECSPX008-M,293,90
999-CECSMX016-M,1907,93
999-CECSPX006-M,40,3
999-CLC000111-E,33,14
999-CLC000221-E,30,46
998-CPC000066-M,266,1
998-CPC000205-M,161,224
998-CPC000600-M,1938,8
999-AJC000040-E,293,4
999-AOC000094-E,1736,14
999-AXC000106-E,34,51
999-AYC000464-E,292,100
999-BOC000007-E,1735,39
999-BRC000050-E,28,7
999-CAC000554-E,34,5
999-CLC000185-E,1833,16
999-CLC000207-E,292,24
999-CLC000398-E,1453,11
120-CGC000040-M,238,8975
170-CGC000056-M,31,2
998-CPC000570-M,266,50
998-CPC000635-M,173,6
998-CPC000953-M,161,5
999-ABC000007-E,1563,1227
999-ACC000052-E,1470,2145
999-CAC000905-E,1147,1
999-ACC000081-E,1215,212
999-ACC000232-E,1794,468
999-ACC000366-E,32,25
999-ACC316027-E,1580,156
999-ADC000001-E,1618,136
999-AHCA16001-E,1628,152
999-AYC000184-E,1751,137
999-AYC000217-E,1580,1339
999-AYC000477-E,1137,7
999-BEC000236-E,1769,33
999-BRC000082-E,173,5
999-CAC000004-E,1681,8
999-CECCAC019-M,22,98
999-CIC000040-E,1470,345
999-CJC000002-M,31,1
999-CKC000029-E,1137,1
999-CKC000138-E,34,1
999-CLC000054-E,1736,92
999-BVC000001-E,19,18
999-CAC000006-E,22,10
999-CAC000667-E,34,1
130-PCC000053-E,1594,1
141-PCC000011-E,1593,1
998-CECSPP013-M,1144,1
