TPN,Description,115-PCA000007-E   F16S,115-PCA000037-E   PSM02,103-PCA000027-E   PSU,104-PCA000001-E     AC-DC,115-PCA000039-E    A162,115-PCA000084-E   ELAN01,130-PCA000207-E   ELAN04,140-SKU000004-P,141-PCA000002-E    ST63,141-PCA000024-E    ELAN10,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,170-PCA000256-E    OFA,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,130-PCA000207-E   ELAN04,104-PCA000001-E     APASU03,104-PCA000002-E  DPSU03,104-PCA000003-E  P02FP,104-PCA000004-E CP8E,170-PCA000002-E   FTU,170-PCA000002-E   FTU,170-PCA000084-E    PFU3,170-PCA000003-E    OAM,160-PCA000049-L,130-PCA000207-E   ELAN04,115-PCA000084-E   ELAN01,104-PCA000025-E,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,104-PCA000002-E  DPSU03,115-PCA000037-E   PSM02,104-PCA000003-E  P02FP,001-PCA000062-E  BBT2,130-PCA000205-E DPU12,103-PCA000027-E PSU,103-PCA000036-E LTC8,115-PCA000039-E A162,170-PCA000256-E OFA,141-PCA000002-E ST63
001-PCC000015-E,Bareboard Engineering Orderwire Card,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
001-PCC000027-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
001-PCC000044-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
001-PCC000060-E,Bareboard of PWR_BKUP card,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001-PCCSY5R03-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
001-PCCSY5R13-E,Bareboard Tejas Clock Multiplier Type 04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
001-PCCSYNC03-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-CDC000015-M,APSU01 COVER AC-TJ100CPR4,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,
102-PCC000013-E,Bareboard for CAP AC-DC Power Supply Module for TJ1100/TJ1220,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
102-PCC000014-E,Bareboard for CDP DC-DC Power Supply Card 30W 3.3V and 12V for TJ1100 and TJ1220,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
102-PCCPSU003-E,Bareboard PSU for TJ100MC-1 LT3UPSU2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
103-CDC000003-M,HANDLE-MC1 CONVERGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,
103-PCC000005-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
