Tejas Part Number,Qty shipping,DC ref,DC date
999-CLC000023-E,188,99,1/12/2015
999-CLC000180-E,100,105,1/28/2015
998-BZA000358-X,93,109,2/9/2015
999-ADC837752-E,12,109,2/9/2015
999-AOC000034-E,69,109,2/9/2015
999-AOC000034-E,76,109,2/9/2015
999-ACC000017-E ,320,112,2/16/2015
999-CAC000192-E,58,112,2/16/2015
999-CAC000222-E,60,114,2/20/2015
999-CAC001283-E,5,116,2/21/2015
998-CFC000024-M,54,117,2/24/2015
998-CFC000024-M,45,118,2/26/2015
999-CECSPX006-M,148,120,3/4/2015
999-CECWPS005-M,148,120,3/4/2015
999-AIC000006-E,4603,136,3/18/2015
999-AIC000007-E,300,136,3/18/2015
999-AIC000016-E,1290,136,3/18/2015
999-BCC000004-E,298,135,3/18/2015
999-BEC000139-E,332,136,3/18/2015
999-BEC000152-E,120,135,3/18/2015
999-BEC000155-E,849,135,3/18/2015
999-BEC000159-E,451,135,3/18/2015
999-BGC000002-E,132,136,3/18/2015
999-BJC000019-E,202,135,3/18/2015
999-BPC000008-E,806,135,3/18/2015
999-BPC000015-E,613,136,3/18/2015
999-BPC000047-E,475,135,3/18/2015
999-BRC000030-E,240,135,3/18/2015
999-BVC000003-E,651,136,3/18/2015
999-BVC000094-E,151,136,3/18/2015
999-CLC000001-E,1708,136,3/18/2015
999-CLC000002-E,983,136,3/18/2015
999-CLC000008-E,652,136,3/18/2015
999-CLC000009-E,1259,136,3/18/2015
999-CLC000013-E,388,136,3/18/2015
999-CLC000017-E,165,136,3/18/2015
999-CLC000054-E,880,136,3/18/2015
999-CLC000078-E,100,136,3/18/2015
999-CLC000081-E,651,135,3/18/2015
999-CLC000085-E,648,136,3/18/2015
999-CLC000091-E,795,135,3/18/2015
999-ACC317501-E,96000,139,3/19/2015
999-ACC338501-E,4000,140,3/19/2015
999-ADC000009-E,712,141,3/19/2015
999-ADCD87751-E,6500,140,3/19/2015
999-AHC926001-E,1998,140,3/19/2015
999-AKC000006-E,2708,138,3/19/2015
999-AXC000004-E,1482,141,3/19/2015
999-BCC000002-E,500,140,3/19/2015
999-BCC000004-E,1038,140,3/19/2015
999-BEC000139-E,450,140,3/19/2015
999-BEC000151-E,1500,140,3/19/2015
999-BEC000161-E,675,140,3/19/2015
999-BPC000047-E,576,140,3/19/2015
999-BRC000030-E,435,140,3/19/2015
999-BUC000001-E,652,140,3/19/2015
999-CAC000001-E,882,141,3/19/2015
999-CAC000004-E,652,141,3/19/2015
999-CAC000006-E,1304,141,3/19/2015
999-CAC000054-E,806,141,3/19/2015
999-CAC000069-E,682,139,3/19/2015
999-CAC000106-E,659,141,3/19/2015
999-CAC000192-E,1374,141,3/19/2015
999-CAC000312-E,762,141,3/19/2015
999-CAC000323-E,726,141,3/19/2015
999-CJC000005-E,672,141,3/19/2015
999-CLC000017-E,118,140,3/19/2015
999-CLC000091-E,1600,140,3/19/2015
998-BZA000006-X,5,142,3/20/2015
998-BZA000364-X,15,142,3/20/2015
999-ABC000001-E,1033,144,3/20/2015
999-ACC000002-E,1040,143,3/20/2015
999-ACC000013-E,1005,144,3/20/2015
999-ACC000017-E,10577,143,3/20/2015
999-ACC000029-E,5053,143,3/20/2015
999-ACC000029-E,1046,144,3/20/2015
999-ACC000072-E,70,144,3/20/2015
999-ACC315001-E,3202,143,3/20/2015
999-ACC315503-E,198,143,3/20/2015
999-ACC315503-E,929,144,3/20/2015
999-ACC316028-E,1814,143,3/20/2015
999-ACC316028-E,2270,144,3/20/2015
999-ACC316504-E,4804,143,3/20/2015
999-ACC316504-E,3465,144,3/20/2015
999-ACC317501-E,488,143,3/20/2015
999-ACC318501-E,136,144,3/20/2015
999-ACC338501-E,1517,144,3/20/2015
999-ACC7C6501-E,353,144,3/20/2015
999-AHC926001-E,178,144,3/20/2015
999-AYC000114-E,877,143,3/20/2015
999-AYC000140-E,5926,143,3/20/2015
